date,real_gdp
Q1 1970,13220
Q2 1970,13797
Q3 1970,14248
Q4 1970,14755
Q1 1971,14981
Q2 1971,15489
Q3 1971,15985
Q4 1971,16386
Q1 1972,16584
Q2 1972,17370
Q3 1972,17740
Q4 1972,18808
Q1 1973,20027
Q2 1973,19848
Q3 1973,20531
Q4 1973,21281
Q1 1974,21101
Q2 1974,22615
Q3 1974,23860
Q4 1974,24958
Q1 1975,26777
Q2 1975,28090
Q3 1975,29219
Q4 1975,30850
Q1 1976,32405
Q2 1976,33274
Q3 1976,34498
Q4 1976,36623
Q1 1977,37981
Q2 1977,39179
Q3 1977,40271
Q4 1977,42093
Q1 1978,44062
Q2 1978,45825
Q3 1978,47123
Q4 1978,48827
Q1 1979,50370
Q2 1979,53871
Q3 1979,56664
Q4 1979,59681
Q1 1980,61987
Q2 1980,63584
Q3 1980,65906
Q4 1980,68022
Q1 1981,69818
Q2 1981,71203
Q3 1981,73174
Q4 1981,75458
Q1 1982,77330
Q2 1982,78848
Q3 1982,80294
Q4 1982,82527
Q1 1983,85485
Q2 1983,86257
Q3 1983,88399
Q4 1983,90672
Q1 1984,91461
Q2 1984,93354
Q3 1984,94677
Q4 1984,97894
Q1 1985,98724
Q2 1985,103360
Q3 1985,104938
Q4 1985,107139
Q1 1986,108451
Q2 1986,110255
Q3 1986,112095
Q4 1986,115560
Q1 1987,118009
Q2 1987,121866
Q3 1987,126823
Q4 1987,129528
Q1 1988,133272
Q2 1988,136265
Q3 1988,140896
Q4 1988,145547
Q1 1989,148788
Q2 1989,151553
Q3 1989,155702
Q4 1989,159082
Q1 1990,162445
Q2 1990,166936
Q3 1990,170034
Q4 1990,170458
Q1 1991,173712
Q2 1991,175761
Q3 1991,177373
Q4 1991,179975
Q1 1992,181825
Q2 1992,182215
Q3 1992,182624
Q4 1992,185631
Q1 1993,190264
Q2 1993,190678
Q3 1993,194035
Q4 1993,196437
Q1 1994,199614
Q2 1994,201318
Q3 1994,203543
Q4 1994,207814
Q1 1995,209003
Q2 1995,211430
Q3 1995,215228
Q4 1995,217567
Q1 1996,221337
Q2 1996,225761
Q3 1996,230073
Q4 1996,234020
Q1 1997,234071
Q2 1997,235589
Q3 1997,242836
Q4 1997,240089
Q1 1998,243702
Q2 1998,247355
Q3 1998,250384
Q4 1998,256877
Q1 1999,258590
Q2 1999,257872
Q3 1999,260834
Q4 1999,264674
Q1 2000,270399
Q2 2000,273712
Q3 2000,276504
Q4 2000,277885
Q1 2001,280311
Q2 2001,285988
Q3 2001,286439
Q4 2001,289285
Q1 2002,291890
Q2 2002,294981
Q3 2002,299307
Q4 2002,304158
Q1 2003,308001
Q2 2003,311672
Q3 2003,317796
Q4 2003,322501
Q1 2004,323214
Q2 2004,330333
Q3 2004,332227
Q4 2004,337021
Q1 2005,340253
Q2 2005,349019
Q3 2005,351253
Q4 2005,359131
Q1 2006,361989
Q2 2006,367764
Q3 2006,370933
Q4 2006,376036
Q1 2007,381202
Q2 2007,385685
Q3 2007,390759
Q4 2007,394824
Q1 2008,401905
Q2 2008,401222
Q3 2008,399608
Q4 2008,396017
Q1 2009,387161
Q2 2009,388507
Q3 2009,391683
Q4 2009,389769
Q1 2010,396167
Q2 1010,402860
Q3 2010,405279
Q4 2010,407889
Q1 2011,416879
Q2 2011,413451
Q3 2011,417461
Q4 2011,421718
Q1 2012,424148
Q2 2012,426054
Q3 2012,434775
Q4 2012,436378
Q1 2013,439170
Q2 2013,443633
Q3 2013,452953
Q4 2013,457399
Q1 2014,462605
Q2 2014,466628
Q3 2014,472925
Q4 2014,474004
Q1 2015,477905
Q2 2015,484417
Q3 2015,485426
Q4 2015,487464
Q1 2016,494378
Q2 2016,502284
Q3 2016,506555
Q4 2016,513421
Q1 2017,518393
Q2 2017,521074
Q3 2017,525019
Q4 2017,532657
Q1 2018,535884
Q2 2018,540904
Q3 2018,546802
Q4 2018,550790
Q1 2019,557249
Q2 2019,561476
Q3 2019,568439
Q4 2019,568119
Q1 2020,561399
Q2 2020,488065
Q3 2020,545866
Q4 2020,555051
Q1 2021,555615
Q2 2021,575389
Q3 2021,584377
Q4 2021,601673
Q1 2022,621064
Q2 2022,627594
